Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.599200,-112.814200,90.000000,bottom
"C2","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.417600,-90.944800,270.000000,bottom
"C3","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.624600,-118.097400,0.000000,bottom
"C4","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",165.735200,-84.556600,180.000000,bottom
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.863200,-92.430600,270.000000,bottom
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.179000,-111.074400,90.000000,bottom
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.554000,-73.368000,270.000000,bottom
"C9","330n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.966000,-127.470000,0.000000,bottom
"C10","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",164.554000,-127.470000,180.000000,bottom
"D1","STPS 1L30A STM","D_SMA_Handsoldering",116.802000,-82.512000,270.000000,bottom
"D2","STPS 1L30A STM","D_SMA_Handsoldering",116.802000,-92.164000,270.000000,bottom
"D3","STPS 1L30A STM","D_SMA_Handsoldering",116.802000,-101.816000,270.000000,bottom
"D4","STPS 1L30A STM","D_SMA_Handsoldering",116.802000,-111.468000,270.000000,bottom
"Q1","BCX56","SOT-89-3",156.934000,-105.118000,90.000000,bottom
"Q2","BCX56","SOT-89-3",156.934000,-98.768000,90.000000,bottom
"Q3","BCX56","SOT-89-3",156.934000,-92.418000,90.000000,bottom
"Q4","BCX56","SOT-89-3",156.934000,-86.068000,90.000000,bottom
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.211000,-116.916400,0.000000,bottom
"R2","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.211000,-119.456400,0.000000,bottom
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.805200,-87.096600,180.000000,bottom
"R4","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.831200,-84.556600,180.000000,bottom
"R5","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.271200,-99.657000,0.000000,bottom
"R6","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.221000,-104.762400,270.000000,bottom
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.204000,-80.988000,180.000000,bottom
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.744000,-85.052000,90.000000,bottom
"U1","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",166.497000,-111.582400,270.000000,bottom
"U2","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",169.545200,-92.176600,90.000000,bottom
"U3","74HC04","SOIC-14W_7.5x9mm_P1.27mm",158.458000,-73.622000,90.000000,bottom
